Hot Head - Giants Pearl,94.99,99.99,33778,https://www.pricecharting.com/game/skylanders/hot-head-giants-pearl,0 
Hot Streak - SuperChargers,3.99,4.99,35965,https://www.pricecharting.com/game/skylanders/hot-streak-superchargers,0 
Hot Streak - SuperChargers Dark,1.99,9.99,36046,https://www.pricecharting.com/game/skylanders/hot-streak-superchargers-dark,0 
Hot Streak - SuperChargers E3 2015,13.99,13.99,35901,https://www.pricecharting.com/game/skylanders/hot-streak-superchargers-e3-2015,0 
Hot Streak - SuperChargers Gold,19.99,29.99,36193,https://www.pricecharting.com/game/skylanders/hot-streak-superchargers-gold,0 
Ignitor,3.99,6.99,33697,https://www.pricecharting.com/game/skylanders/ignitor,0 
Ignitor - Giants Legendary,1.99,9.99,33699,https://www.pricecharting.com/game/skylanders/ignitor-giants-legendary,0 
Ignitor - Giants Series 2,1.99,3.99,33698,https://www.pricecharting.com/game/skylanders/ignitor-giants-series-2,0 
Jaw Breaker - Trap Team,4.99,3.99,35494,https://www.pricecharting.com/game/skylanders/jaw-breaker-trap-team,0 
Jaw Breaker - Trap Team Legendary,3.99,10.99,35518,https://www.pricecharting.com/game/skylanders/jaw-breaker-trap-team-legendary,0 
Jet Stream - SuperChargers,1.99,1.99,36186,https://www.pricecharting.com/game/skylanders/jet-stream-superchargers,0 
Jet-Vac - Giants,1.99,2.99,33700,https://www.pricecharting.com/game/skylanders/jet-vac-giants,1 
Jet-Vac - Giants Blizzard,ND,ND,,https://www.pricecharting.com/game/skylanders/jet-vac-giants-blizzard,0 
Jet-Vac - Giants Legendary,1.99,11.99,33702,https://www.pricecharting.com/game/skylanders/jet-vac-giants-legendary,0 
Jet-Vac - Giants Lightcore,1.99,3.99,33703,https://www.pricecharting.com/game/skylanders/jet-vac-giants-lightcore,0 
Jet-Vac - SuperChargers Hurricane,.99,3.99,36348,https://www.pricecharting.com/game/skylanders/jet-vac-superchargers-hurricane,0 
Jet-Vac - SuperChargers Hurricane Legendary,1.99,14.99,36350,https://www.pricecharting.com/game/skylanders/jet-vac-superchargers-hurricane-legendary,0 
Jet-Vac - Swap Force Turbo,4.99,7.99,34363,https://www.pricecharting.com/game/skylanders/jet-vac-swap-force-turbo,0 
Jet-Vac - Trap Team Full Blast,.99,7.99,35521,https://www.pricecharting.com/game/skylanders/jet-vac-trap-team-full-blast,0 
Ka Boom - Trap Team,3.99,6.99,35495,https://www.pricecharting.com/game/skylanders/ka-boom-trap-team,0 
Kaos Trophy,3.99,3.99,47041,https://www.pricecharting.com/game/skylanders/kaos-trophy,0 
King Cobra Cadabra - Trap Team,8.99,10.99,35896,https://www.pricecharting.com/game/skylanders/king-cobra-cadabra-trap-team,0 
Knight Light - Trap Team,9.99,14.99,35504,https://www.pricecharting.com/game/skylanders/knight-light-trap-team,0 
Knight Mare - Trap Team,7.99,11.99,35499,https://www.pricecharting.com/game/skylanders/knight-mare-trap-team,0 
Krypt King - Trap Team,7.99,11.99,35496,https://www.pricecharting.com/game/skylanders/krypt-king-trap-team,0 
