Bug Fables: The Everlasting Sapling,ND,ND,ND,819976025852,2092669,https://www.pricecharting.com/game/nintendo-switch/bug-fables-the-everlasting-sapling 
Bug Fables: The Everlasting Sapling Collector's Edition,ND,ND,ND,,2576478,https://www.pricecharting.com/game/nintendo-switch/bug-fables-the-everlasting-sapling-collector's-edition 
Buildings Have Feelings Too,ND,ND,ND,819335020412,1935102,https://www.pricecharting.com/game/nintendo-switch/buildings-have-feelings-too 
BurgerTime Party,15.99,16.99,24.99,859716006314,65164,https://www.pricecharting.com/game/nintendo-switch/burgertime-party 
Buried Stars,69.99,79.99,104.99,,601427,https://www.pricecharting.com/game/nintendo-switch/buried-stars 
Burnout Paradise Remastered,11.99,12.99,16.99,014633743227,72851,https://www.pricecharting.com/game/nintendo-switch/burnout-paradise-remastered 
Bustafellows,ND,ND,ND,814737021463,2290808,https://www.pricecharting.com/game/nintendo-switch/bustafellows 
Bustafellows Collector's Edition,ND,ND,ND,,2336237,https://www.pricecharting.com/game/nintendo-switch/bustafellows-collector's-edition 
Cabela's The Hunt & Bass Pro Shops The Strike Combo Pack,ND,ND,ND,,3001972,https://www.pricecharting.com/game/nintendo-switch/cabela's-the-hunt-&-bass-pro-shops-the-strike-combo-pack 
Cabela's The Hunt: Championship Edition,17.99,19.99,44.99,860108001244,53726,https://www.pricecharting.com/game/nintendo-switch/cabela's-the-hunt-championship-edition 
Cabela's The Hunt: Championship Edition Bundle,49.99,59.99,79.99,869323000421,53727,https://www.pricecharting.com/game/nintendo-switch/cabela's-the-hunt-championship-edition-bundle 
Cadence of Hyrule: Crypt of The Necrodancer,24.99,24.99,34.99,045496596804,161956,https://www.pricecharting.com/game/nintendo-switch/cadence-of-hyrule-crypt-of-the-necrodancer 
Cafe Enchante,29.99,29.99,39.99,853736006804,185829,https://www.pricecharting.com/game/nintendo-switch/cafe-enchante 
Caligula Effect: Overdose,79.99,109.99,144.99,810023032335,55842,https://www.pricecharting.com/game/nintendo-switch/caligula-effect-overdose 
Caligula Effect: Overdose Limited Edition,104.99,119.99,194.99,,58447,https://www.pricecharting.com/game/nintendo-switch/caligula-effect-overdose-limited-edition 
Call of Cthulhu,12.99,24.99,29.99,859529007447,67273,https://www.pricecharting.com/game/nintendo-switch/call-of-cthulhu 
Call of Juarez: Gunslinger,ND,ND,ND,,2991156,https://www.pricecharting.com/game/nintendo-switch/call-of-juarez-gunslinger 
